trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
61,False,"{'a': 0.5, 'e': 0.5488116360940264}",20,0,-61.01687948148066,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.5433508690744998}",20,10,-39.58021811307099,"{0: 7, 1: 0, 2: 1, 3: 2, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.5379444375946745}",20,0,-81.02654330630502,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.5325918010068972}",20,12,13.711922021988459,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.5272924240430485}",25,0,10.78259113776259,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.522045776761016}",20,0,-9.700875564075561,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.5168513344916992}",20,0,-122.61131067126321,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 3}",0
68,False,"{'a': 0.5, 'e': 0.5117085777865424}",25,16,-2.4485850007041483,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.5066169923655895}",20,0,-49.43285100514466,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.5015760690660555}",30,0,-121.49451607605187,"{0: 23, 1: 1, 2: 2, 3: 2, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.49658530379140947}",20,14,-19.424387659460375,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.4916441974609651}",25,0,-74.43469071893254,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.4867522559599717}",30,10,13.617261674726356,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.48190899009020244}",20,9,-25.228940129186682,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.4771139155210344}",25,0,-70.4328747947272,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.4723665527410147}",20,6,-6.486521231250279,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.46766642700990924}",30,0,-33.16652833625028,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.46301306831122807}",20,15,10.560224102357319,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.4584060113052235}",20,0,-80.98069129557288,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.45384479528235583}",20,14,7.534106077579445,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.44932896411722156}",25,1,0.4556092958361848,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.4448580662229411}",20,0,-14.998395588362433,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.44043165450599925}",20,0,0.8478912064612422,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.43604928632153556}",25,0,-7.524588893203238,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.43171052342907973}",20,0,10.046269751189383,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.4274149319487267}",20,4,-68.20964825760949,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 2}",1
87,False,"{'a': 0.5, 'e': 0.4231620823177488}",25,0,-62.58949562075513,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.418951549247639}",25,0,-59.559337518471175,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.4147829116815814}",25,8,-44.73285422407548,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 1}",1
90,False,"{'a': 0.5, 'e': 0.4106557527523455}",20,0,-11.9863947041033,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,0,-54.25142537940853,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.40252422403363597}",20,0,10.599039262982217,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.39851904108451414}",20,0,-73.43139568871536,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.3945537103716011}",20,0,-27.63625186019389,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.3906278353585211}",20,11,-122.5731682627993,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 3}",1
96,False,"{'a': 0.5, 'e': 0.3867410234545012}",20,4,-10.554524454264161,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.38289288597511206}",20,0,-129.34285782112482,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
98,False,"{'a': 0.5, 'e': 0.37908303810339883}",20,13,-12.794053080049856,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.37531109885139957}",30,20,15.348116003563451,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.3715766910220457}",25,17,-35.82824255485019,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,0,-123.17442904842925,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
102,False,"{'a': 0.5, 'e': 0.3642189795715233}",20,0,-28.516077386593413,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.3605949401730783}",30,0,-20.458819276832955,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",1
104,False,"{'a': 0.5, 'e': 0.3570069605691474}",30,17,-23.987112874292023,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.35345468195878016}",30,3,6.470045291670223,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.3499377491111553}",25,7,-107.73833231849072,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 2}",1
107,False,"{'a': 0.5, 'e': 0.3464558103300574}",20,9,-31.02562757948362,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
108,False,"{'a': 0.5, 'e': 0.34300851741870664}",25,6,-62.77145929859813,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 1}",1
109,False,"{'a': 0.5, 'e': 0.3395955256449391}",25,7,-38.72409432246759,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.33621649370673334}",20,0,-84.90200395058578,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.33287108369807955}",20,12,-42.989537581229655,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
112,False,"{'a': 0.5, 'e': 0.32955896107518906}",20,7,-44.23882617817389,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.32627979462303947}",20,0,-51.74062855952397,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
